normal_10 tumoral
normal_26 normal
normal_31 normal
normal_16 normal
normal_18 normal
normal_22 normal
normal_45 normal
tumor_38 tumoral
tumor_29 tumoral
tumor_84 tumoral
tumor_78 tumoral
tumor_76 tumoral
tumor_35 tumoral
tumor_40 tumoral
tumor_9 tumoral
tumor_73 tumoral
tumor_80 tumoral
tumor_46 tumoral
normal_19 normal
normal_1 normal
normal_38 normal
normal_36 normal
normal_39 normal
normal_20 normal
normal_14 normal
normal_27 normal
tumor_47 tumoral
tumor_18 tumoral
tumor_20 tumoral
tumor_39 tumoral
tumor_28 tumoral
tumor_81 tumoral
tumor_19 tumoral
tumor_79 tumoral
tumor_77 tumoral
tumor_83 tumoral
tumor_41 tumoral
normal_37 normal
normal_32 normal
normal_46 normal
normal_2 normal
normal_40 normal
normal_47 normal
normal_21 normal
normal_48 normal
tumor_31 tumoral
tumor_23 tumoral
tumor_7 tumoral
tumor_11 tumoral
tumor_25 tumoral
tumor_16 tumoral
tumor_27 tumoral
tumor_26 tumoral
tumor_74 tumoral
tumor_75 tumoral
tumor_5 tumoral
normal_44 normal
normal_34 normal
normal_6 normal
normal_35 normal
normal_12 normal
normal_41 normal
normal_11 normal
normal_49 normal
tumor_44 tumoral
tumor_82 tumoral
tumor_24 tumoral
tumor_10 tumoral
tumor_4 tumoral
tumor_67 tumoral
tumor_71 tumoral
tumor_1 tumoral
tumor_36 tumoral
tumor_48 tumoral
tumor_17 tumoral
